instancia,abordagem,semente,n_vertices,p,r,iteracao,tempo_acumulado,melhor_cobertura,melhor_distancia
att532.tsp,GRASP com VND,0,532,20,279.0,1,1.8943088054656982,530,7563
att532.tsp,GRASP com VND,0,532,20,279.0,2,4.142017364501953,531,7511
att532.tsp,GRASP com VND,0,532,20,279.0,3,6.310155153274536,531,7511
att532.tsp,GRASP com VND,0,532,20,279.0,4,16.446454763412476,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,5,18.713220596313477,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,6,21.92197585105896,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,7,25.781216382980347,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,8,27.049119472503662,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,9,31.592414617538452,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,10,35.32763361930847,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,11,36.04164004325867,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,12,37.37896203994751,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,13,39.951810121536255,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,14,43.5077908039093,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,15,45.49967575073242,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,16,46.1644229888916,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,17,48.35173940658569,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,18,49.295262813568115,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,19,50.099783420562744,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,20,51.25619649887085,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,21,53.15334129333496,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,22,54.39134955406189,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,23,55.14952373504639,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,24,58.203155517578125,532,7489
att532.tsp,GRASP com VND,0,532,20,279.0,25,59.3820321559906,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,26,61.2303900718689,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,27,69.15695786476135,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,28,71.15173768997192,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,29,72.1579110622406,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,30,72.76237726211548,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,31,74.49438905715942,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,32,78.0504982471466,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,33,80.5123963356018,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,34,83.73870754241943,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,35,84.28280091285706,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,36,86.30597925186157,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,37,89.20660209655762,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,38,90.06123161315918,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,39,93.59969139099121,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,40,94.80868315696716,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,41,95.89679622650146,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,42,97.27044916152954,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,43,98.3365433216095,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,44,100.03631043434143,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,45,101.72926688194275,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,46,102.63379144668579,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,47,103.43496346473694,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,48,106.15682554244995,532,7387
att532.tsp,GRASP com VND,0,532,20,279.0,49,108.62561273574829,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,50,109.61714458465576,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,51,116.02774977684021,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,52,122.90609931945801,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,53,124.50711607933044,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,54,125.28238081932068,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,55,125.99307680130005,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,56,132.1429967880249,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,57,132.783549785614,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,58,134.27054500579834,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,59,135.81749534606934,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,60,145.27089953422546,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,61,151.4137794971466,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,62,152.64521479606628,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,63,158.53869366645813,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,64,160.84855461120605,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,65,162.30275011062622,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,66,172.50996232032776,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,67,182.827552318573,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,68,184.89619398117065,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,69,186.69372057914734,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,70,187.83667039871216,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,71,189.19075179100037,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,72,190.42836737632751,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,73,192.16693758964539,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,74,194.20409059524536,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,75,195.1775221824646,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,76,196.935448884964,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,77,198.24263429641724,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,78,206.97982621192932,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,79,208.91795086860657,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,80,211.91649174690247,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,81,212.75365281105042,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,82,214.58197617530823,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,83,220.52632546424866,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,84,222.9245526790619,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,85,228.99796772003174,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,86,229.97380828857422,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,87,236.31090784072876,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,88,240.03095936775208,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,89,241.35490822792053,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,90,242.26543974876404,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,91,245.03379678726196,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,92,247.45541262626648,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,93,248.32006692886353,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,94,249.52608466148376,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,95,250.31159353256226,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,96,255.86059737205505,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,97,259.38377833366394,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,98,261.28444385528564,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,99,263.2167308330536,532,7315
att532.tsp,GRASP com VND,0,532,20,279.0,100,268.4724245071411,532,7315
att532.tsp,GRASP com VND,1,532,20,279.0,1,1.1295266151428223,531,7265
att532.tsp,GRASP com VND,1,532,20,279.0,2,2.7787768840789795,532,7542
att532.tsp,GRASP com VND,1,532,20,279.0,3,4.0610198974609375,532,7542
att532.tsp,GRASP com VND,1,532,20,279.0,4,5.640932083129883,532,7542
att532.tsp,GRASP com VND,1,532,20,279.0,5,6.2903454303741455,532,7542
att532.tsp,GRASP com VND,1,532,20,279.0,6,8.25575876235962,532,7542
att532.tsp,GRASP com VND,1,532,20,279.0,7,9.357454538345337,532,7542
att532.tsp,GRASP com VND,1,532,20,279.0,8,10.407289981842041,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,9,18.197622060775757,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,10,18.858384609222412,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,11,20.340258836746216,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,12,20.913750171661377,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,13,21.97096014022827,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,14,31.248494863510132,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,15,32.08815360069275,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,16,33.030972480773926,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,17,33.96787118911743,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,18,34.88745141029358,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,19,35.71180200576782,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,20,40.90670371055603,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,21,41.54995512962341,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,22,42.746840715408325,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,23,43.19839644432068,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,24,45.141008615493774,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,25,46.357595920562744,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,26,47.70878553390503,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,27,49.92032551765442,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,28,51.59472990036011,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,29,52.59206795692444,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,30,53.89898657798767,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,31,55.403876066207886,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,32,56.02741003036499,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,33,56.790417194366455,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,34,59.235119104385376,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,35,59.78428244590759,532,7458
att532.tsp,GRASP com VND,1,532,20,279.0,36,60.80560374259949,532,7458
