instance,p,radius,alpha,final_dist,final_cov,final_obj,vns_time,time_best_found,iter_best_found,init_dist,init_cov
kroA200.tsp,4,600,0.001,6980.517064516803,127,-119.8924829354832,106.55944108963013,0.0,0,6980.517064516803,127
kroA200.tsp,4,600,0.01,4193.04452926385,110,-66.96955470736151,133.68496918678284,9.363672494888306,1,6980.517064516803,127
kroA200.tsp,4,600,0.1,298.3288400816002,34,-0.7671159918399795,190.97051858901978,110.43569993972778,6,6980.517064516803,127
kroA200.tsp,4,700,0.001,6362.20437482423,149,-142.48879562517578,123.6567919254303,50.354830265045166,5,6503.980342651507,149
kroA200.tsp,4,700,0.01,5758.183793969811,147,-87.94816206030188,114.89894390106201,2.2060282230377197,1,6503.980342651507,149
kroA200.tsp,4,700,0.1,298.3288400816002,47,-12.467115991839982,189.21097588539124,139.24733686447144,8,6503.980342651507,149
kroA200.tsp,4,800,0.001,6726.4977917264005,171,-164.10250220827362,137.0155975818634,16.866645574569702,1,5952.072288523369,161
kroA200.tsp,4,800,0.01,5721.654294615582,166,-107.12345705384418,146.70083737373352,22.012974977493286,1,5952.072288523369,161
kroA200.tsp,4,800,0.1,298.3288400816002,59,-23.26711599183998,151.08090138435364,3.554436206817627,1,5952.072288523369,161
kroA200.tsp,6,600,0.001,7506.066272557674,170,-162.32393372744235,612.626617193222,9.904757499694824,1,7220.4801996404685,161
kroA200.tsp,6,600,0.01,7506.066272557673,170,-93.23933727442328,702.3793430328369,105.5584237575531,2,7220.4801996404685,161
kroA200.tsp,6,600,0.1,720.987807169219,42,34.29878071692189,928.999614238739,253.25729727745056,2,7220.4801996404685,161
kroA200.tsp,6,700,0.001,7176.375419573067,185,-177.63862458042692,659.889331817627,69.42580723762512,1,8026.610543894269,178
kroA200.tsp,6,700,0.01,6897.675145117453,183,-112.19324854882545,700.1518986225128,35.592100620269775,1,8026.610543894269,178
kroA200.tsp,6,700,0.1,660.4273684120827,58,13.842736841208279,856.6074843406677,19.720104932785034,1,8026.610543894269,178
kroA200.tsp,6,800,0.001,7792.047404085888,198,-190.00995259591411,642.4881019592285,82.81653475761414,2,7284.09675707648,186
kroA200.tsp,6,800,0.01,6990.8319001710925,197,-125.12168099828908,685.6902012825012,163.68151473999023,2,7284.09675707648,186
kroA200.tsp,6,800,0.1,660.4273684120828,63,9.342736841208279,801.8672213554382,117.21333622932434,1,7284.09675707648,186
kroA200.tsp,8,600,0.001,8049.917237682935,191,-182.75908276231706,1374.819177389145,595.9026350975037,2,7956.937550518325,180
kroA200.tsp,8,600,0.01,7586.317951662411,188,-110.25682048337589,1274.7954020500183,53.83131408691406,1,7956.937550518325,180
kroA200.tsp,8,600,0.1,717.7911049728843,35,40.27911049728844,1923.1497514247894,1827.1284635066986,10,7956.937550518325,180
kroA200.tsp,8,700,0.001,8122.924442426735,200,-191.6770755575733,1336.3387384414673,205.42571353912354,1,9641.955674402869,193
kroA200.tsp,8,700,0.01,6691.222967364679,191,-122.17777032635321,1377.1018235683441,506.4952247142792,2,9641.955674402869,193
kroA200.tsp,8,700,0.1,879.7750710992261,44,48.37750710992261,2015.5789546966553,1693.4928753376007,7,9641.955674402869,193
kroA200.tsp,8,800,0.001,7576.787238254331,200,-192.22321276174569,1496.8587563037872,136.77502632141113,1,8690.279898074268,199
kroA200.tsp,8,800,0.01,6519.176025612948,196,-128.84823974387052,1186.5376870632172,43.42513561248779,1,8690.279898074268,199
kroA200.tsp,8,800,0.1,1009.5950190626186,69,38.85950190626186,1380.2067458629608,440.7901465892792,2,8690.279898074268,199
