instancia,abordagem,semente,n_vertices,p,r,iteracoes_planejadas,iteracoes_executadas,cobertura_final,distancia_final,tempo_execucao,iter_best_found,time_best_found,best_sol,best_tour,erro
att532.tsp,GRASP com VND,0,532,20,279.0,1000,269,532,7121,600.0000686645508,114,228.42453145980835,"[301, 482, 391, 14, 496, 504, 200, 183, 405, 397, 383, 336, 399, 486, 287, 273, 421, 407, 158, 38]","[301, 405, 421, 496, 486, 397, 482, 504, 383, 399, 391, 407, 287, 14, 38, 200, 158, 183, 273, 336]",
att532.tsp,GRASP com VND,1,532,20,279.0,1000,241,532,7155,600.0000143051147,230,559.2785053253174,"[496, 445, 403, 14, 504, 48, 183, 301, 397, 399, 200, 486, 336, 273, 407, 158, 297, 383, 405, 482]","[496, 445, 405, 301, 336, 273, 183, 158, 200, 48, 14, 297, 407, 403, 399, 383, 504, 482, 397, 486]",
att532.tsp,GRASP com VND,2,532,20,279.0,1000,248,532,7272,600.0000329017639,175,412.4539430141449,"[287, 257, 406, 504, 456, 14, 170, 301, 473, 63, 355, 478, 486, 407, 490, 336, 273, 359, 405, 158]","[287, 14, 63, 257, 158, 170, 359, 273, 355, 336, 301, 405, 456, 478, 486, 490, 504, 473, 406, 407]",
att532.tsp,GRASP com VND,3,532,20,279.0,1000,278,532,7108,600.0000083446503,192,417.0145790576935,"[336, 405, 486, 183, 407, 134, 158, 383, 406, 482, 478, 273, 301, 23, 397, 373, 504, 275, 14, 456]","[336, 273, 183, 158, 134, 14, 23, 275, 407, 406, 373, 383, 504, 482, 397, 486, 478, 456, 405, 301]",
att532.tsp,GRASP com VND,4,532,20,279.0,1000,200,532,7230,600.0000705718994,103,287.70857763290405,"[496, 407, 405, 305, 273, 399, 225, 431, 48, 158, 401, 301, 383, 14, 420, 508, 336, 504, 448, 183]","[496, 431, 508, 504, 448, 383, 399, 401, 407, 305, 14, 48, 225, 158, 183, 273, 336, 301, 405, 420]",
att532.tsp,GRASP com VND,5,532,20,279.0,1000,247,532,7125,600.0001556873322,10,16.0445818901062,"[486, 224, 180, 378, 183, 478, 399, 407, 405, 134, 456, 504, 383, 397, 482, 14, 336, 273, 158, 301]","[486, 397, 482, 504, 383, 399, 378, 407, 224, 14, 134, 180, 158, 183, 273, 336, 301, 405, 456, 478]",
att532.tsp,GRASP com VND,6,532,20,279.0,1000,194,532,7234,600.0001509189606,54,138.50337266921997,"[397, 199, 504, 399, 502, 183, 286, 14, 407, 301, 38, 403, 431, 336, 486, 383, 405, 499, 273, 158]","[397, 499, 504, 383, 399, 403, 407, 286, 14, 38, 199, 158, 183, 273, 336, 301, 405, 502, 486, 431]",
att532.tsp,GRASP com VND,7,532,20,279.0,1000,239,532,7168,600.0001149177551,15,27.217857837677002,"[502, 373, 273, 14, 134, 383, 262, 158, 405, 23, 504, 336, 397, 482, 407, 406, 301, 183, 357, 486]","[502, 486, 397, 482, 504, 383, 373, 406, 407, 357, 262, 23, 14, 134, 158, 183, 273, 336, 301, 405]",
att532.tsp,GRASP com VND,8,532,20,279.0,1000,209,532,7229,600.0001201629639,154,430.56404185295105,"[336, 330, 14, 486, 397, 183, 287, 310, 421, 273, 158, 407, 225, 383, 496, 504, 406, 482, 38, 182]","[336, 273, 183, 158, 182, 225, 38, 14, 287, 407, 406, 383, 504, 482, 397, 486, 496, 421, 330, 310]",
att532.tsp,GRASP com VND,9,532,20,279.0,1000,242,532,7106,600.0000553131104,25,74.55716490745544,"[486, 373, 273, 336, 183, 383, 407, 405, 504, 14, 406, 158, 456, 482, 287, 478, 134, 397, 301, 44]","[486, 397, 482, 504, 383, 373, 406, 407, 287, 44, 14, 134, 158, 183, 273, 336, 301, 405, 456, 478]",
att532.tsp,Lexicografico 1-swap,0,532,20,279.0,100,4,532,7166,600.0238904953003,1,271.72419452667236,"[502, 14, 373, 183, 407, 397, 336, 405, 134, 273, 406, 158, 287, 486, 482, 301, 383, 504, 305, 44]","[502, 486, 397, 482, 504, 383, 373, 406, 407, 305, 287, 44, 14, 134, 158, 183, 273, 336, 301, 405]",
att532.tsp,Lexicografico 1-swap,1,532,20,279.0,100,5,532,7106,600.00594830513,1,38.66591429710388,"[405, 482, 456, 183, 504, 305, 14, 478, 301, 486, 406, 397, 134, 336, 383, 407, 46, 158, 273, 373]","[405, 301, 336, 273, 183, 158, 134, 14, 46, 305, 407, 406, 373, 383, 504, 482, 397, 486, 478, 456]",
att532.tsp,Lexicografico 1-swap,2,532,20,279.0,100,4,532,7146,600.1463856697083,2,241.19912195205688,"[301, 199, 405, 482, 14, 399, 183, 486, 273, 383, 38, 336, 496, 421, 397, 403, 407, 286, 504, 158]","[301, 405, 421, 496, 486, 397, 482, 504, 383, 399, 403, 407, 286, 14, 38, 199, 158, 183, 273, 336]",
att532.tsp,Lexicografico 1-swap,3,532,20,279.0,100,4,532,7106,600.1137847900391,2,324.6737253665924,"[405, 301, 482, 336, 287, 407, 134, 383, 273, 14, 44, 456, 373, 397, 478, 158, 406, 183, 504, 486]","[405, 301, 336, 273, 183, 158, 134, 14, 44, 287, 407, 406, 373, 383, 504, 482, 397, 486, 478, 456]",
att532.tsp,Lexicografico 1-swap,4,532,20,279.0,100,3,532,7108,600.0158243179321,1,281.3413314819336,"[456, 158, 383, 405, 336, 301, 373, 273, 406, 486, 134, 504, 183, 14, 478, 482, 262, 407, 23, 397]","[456, 478, 486, 397, 482, 504, 383, 373, 406, 407, 262, 23, 14, 134, 158, 183, 273, 336, 301, 405]",
att532.tsp,Lexicografico 1-swap,5,532,20,279.0,100,3,532,7163,600.0486934185028,2,447.270765542984,"[301, 496, 405, 421, 406, 287, 393, 38, 336, 14, 225, 431, 32, 513, 407, 183, 273, 158, 504, 482]","[301, 405, 421, 496, 513, 431, 482, 504, 393, 406, 407, 287, 32, 14, 38, 225, 158, 183, 273, 336]",
att532.tsp,Lexicografico 1-swap,6,532,20,279.0,100,5,532,7106,600.0046317577362,2,304.1010191440582,"[336, 301, 287, 406, 14, 134, 486, 407, 183, 44, 478, 405, 397, 383, 273, 504, 158, 456, 373, 482]","[336, 273, 183, 158, 134, 14, 44, 287, 407, 406, 373, 383, 504, 482, 397, 486, 478, 456, 405, 301]",
att532.tsp,Lexicografico 1-swap,7,532,20,279.0,100,4,532,7106,600.0062313079834,2,352.9202620983124,"[456, 383, 273, 158, 183, 397, 504, 373, 478, 134, 482, 287, 336, 405, 44, 407, 301, 406, 486, 14]","[456, 478, 486, 397, 482, 504, 383, 373, 406, 407, 287, 44, 14, 134, 158, 183, 273, 336, 301, 405]",
att532.tsp,Lexicografico 1-swap,8,532,20,279.0,100,5,532,7118,600.0073103904724,2,301.2096688747406,"[486, 305, 183, 407, 482, 158, 496, 421, 134, 336, 14, 397, 504, 50, 377, 301, 273, 406, 373, 383]","[486, 397, 482, 504, 383, 373, 406, 407, 305, 50, 14, 134, 158, 183, 273, 336, 301, 377, 421, 496]",
att532.tsp,Lexicografico 1-swap,9,532,20,279.0,100,5,532,7171,600.0067985057831,2,320.50437450408936,"[421, 134, 310, 383, 486, 373, 14, 504, 407, 482, 183, 336, 397, 406, 273, 215, 305, 330, 496, 158]","[421, 330, 310, 336, 273, 183, 158, 134, 14, 215, 305, 407, 406, 373, 383, 504, 482, 397, 486, 496]",
att532.tsp,VNS com VND,0,532,20,279.0,100,16,532,7110,600.0226645469666,4,197.12948870658875,"[301, 421, 134, 336, 406, 287, 44, 273, 482, 158, 504, 486, 14, 407, 397, 183, 496, 383, 405, 373]","[301, 405, 421, 496, 486, 397, 482, 504, 383, 373, 406, 407, 287, 44, 14, 134, 158, 183, 273, 336]",
att532.tsp,VNS com VND,1,532,20,279.0,100,13,532,7110,600.0221343040466,12,594.9308698177338,"[301, 486, 406, 273, 383, 421, 504, 14, 44, 407, 287, 496, 336, 373, 405, 482, 134, 183, 158, 397]","[301, 405, 421, 496, 486, 397, 482, 504, 383, 373, 406, 407, 287, 44, 14, 134, 158, 183, 273, 336]",
att532.tsp,VNS com VND,2,532,20,279.0,100,16,532,7112,600.0007195472717,2,105.13023233413696,"[513, 496, 482, 183, 301, 420, 399, 405, 393, 431, 504, 391, 14, 336, 407, 200, 273, 38, 158, 287]","[513, 431, 482, 504, 393, 399, 391, 407, 287, 14, 38, 200, 158, 183, 273, 336, 301, 405, 420, 496]",
att532.tsp,VNS com VND,3,532,20,279.0,100,13,532,7112,600.0127241611481,12,597.0492126941681,"[456, 504, 161, 406, 158, 336, 183, 38, 478, 273, 405, 397, 14, 373, 407, 486, 287, 383, 301, 482]","[456, 478, 486, 397, 482, 504, 383, 373, 406, 407, 287, 14, 38, 161, 158, 183, 273, 336, 301, 405]",
att532.tsp,VNS com VND,4,532,20,279.0,100,16,532,7121,600.0003900527954,10,389.5783281326294,"[336, 496, 486, 405, 183, 482, 301, 407, 397, 383, 421, 287, 14, 391, 504, 200, 399, 38, 158, 273]","[336, 273, 183, 158, 200, 38, 14, 287, 407, 391, 399, 383, 504, 482, 397, 486, 496, 421, 405, 301]",
